,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
5799,834755638,01525619-86d0-3d5a-a6a5-af1070d4f30b,-1.115,-58.063,2019-01-26 17:15:00,Brasil,PARÁ,FARO,Amazônia,2019,1,26
5831,850600548,e2d60132-bc49-3144-b63f-efbc5f769a24,-3.02,-48.485,2019-01-30 16:50:00,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,2019,1,30
5834,837621958,75419a63-0622-365d-bfba-12b068982d42,-19.166,-50.595,2019-01-24 17:25:00,Brasil,MINAS GERAIS,SANTA VITÓRIA,Mata Atlântica,2019,1,24
5835,837621951,f1c2a225-c86a-3737-852f-b5efed7dcbc6,-22.963,-50.261,2019-01-24 17:25:00,Brasil,PARANÁ,ANDIRÁ,Mata Atlântica,2019,1,24
5840,834468982,2919e1f5-e98d-37e3-898d-e33ca8bd3b12,-10.59,-37.742,2019-01-26 15:35:00,Brasil,SERGIPE,PINHÃO,Caatinga,2019,1,26
5842,834468980,7f7acc6a-9507-38b7-a16f-0641e94717d5,-8.572,-35.48,2019-01-26 15:35:00,Brasil,PERNAMBUCO,ÁGUA PRETA,Mata Atlântica,2019,1,26
5844,834468978,2f7f8df9-7899-3479-97dd-d40967c734c2,-8.953,-35.501,2019-01-26 15:35:00,Brasil,ALAGOAS,JUNDIÁ,Mata Atlântica,2019,1,26
5847,836436412,15e81f95-3f98-36ae-a5b4-046f2ba102d6,0.713,-60.498,2019-01-27 18:00:00,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,2019,1,27
5873,850600327,650b5b79-e232-3627-9522-6ab820c2b983,-3.275,-43.502,2019-01-30 16:50:00,Brasil,MARANHÃO,SÃO BENEDITO DO RIO PRETO,Cerrado,2019,1,30
5874,850600463,472baee2-1dac-3922-98fd-4d7708343f83,0.898,-50.812,2019-01-30 16:55:00,Brasil,AMAPÁ,CUTIAS,Amazônia,2019,1,30
5885,858737443,3a4cd4a9-4be8-3943-8107-2ec402277bcd,-20.773,-54.649,2019-02-03 18:00:00,Brasil,MATO GROSSO DO SUL,CAMPO GRANDE,Cerrado,2019,2,3
5890,858737828,0857f57c-dbe8-3e1f-b4ad-bc20b6693f80,3.514,-60.254,2019-02-03 18:10:00,Brasil,RORAIMA,NORMANDIA,Amazônia,2019,2,3
5926,837599600,c562d6f1-2e4b-33a8-bf8f-6f02122f5c21,-17.933,-43.02,2019-01-22 16:00:00,Brasil,MINAS GERAIS,ITAMARANDIBA,Cerrado,2019,1,22
5941,840729251,24b2d46a-0bfa-3c40-9ebc-776f8a13e2a8,-3.129,-53.245,2019-01-28 17:05:00,Brasil,PARÁ,MEDICILÂNDIA,Amazônia,2019,1,28
5944,840729146,a99e39e5-ccc1-3d27-ac3f-50e418d7fb57,-10.522,-42.807,2019-01-28 17:00:00,Brasil,BAHIA,BARRA,Caatinga,2019,1,28
5947,836324246,5cd1c050-7b66-33ac-abc6-c527f4e6446b,-20.341,-41.691,2019-01-27 16:15:00,Brasil,ESPÍRITO SANTO,IRUPI,Mata Atlântica,2019,1,27
5948,836324245,7bb6c9a2-5320-31a6-bfcb-9ab3827193fc,-21.237,-41.855,2019-01-27 16:15:00,Brasil,RIO DE JANEIRO,ITAPERUNA,Mata Atlântica,2019,1,27
5959,840729069,bd3bc3b5-d67f-3572-821c-6aaf2bd4441f,-26.297,-50.644,2019-01-28 17:00:00,Brasil,SANTA CATARINA,CANOINHAS,Mata Atlântica,2019,1,28
5983,840728549,47b6e883-8b02-3beb-aaa0-2e4c3cc4dcba,-29.52,-50.917,2019-01-28 16:55:00,Brasil,RIO GRANDE DO SUL,SANTA MARIA DO HERVAL,Mata Atlântica,2019,1,28
5985,850600549,146548cc-f46a-3151-9f5e-60fdf5018b23,-22.873,-44.553,2019-01-30 16:45:00,Brasil,SÃO PAULO,SÃO JOSÉ DO BARREIRO,Mata Atlântica,2019,1,30
